Lender Number,Lender Loan Number,Delinquent Flag,Account Number,Tax Year,Year For,Billing Type,Real Property Value,Total Personal Value,Principal Due (xxxxxxxx.xx),Interest Due,Cost Due,Total Due
     ,                 , ,209,2016,2016,0,57000,0,580.72,0,0,580.72
     ,                 , ,211,2016,2016,0,375309,0,3843.65,0,0,3843.65
     ,                 , ,213,2016,2016,0,128698,0,916.38,0,0,916.38
     ,                 , ,215,2016,2016,0,161628,0,1666.67,0,0,1666.67
     ,                 , ,217,2016,2016,0,298841,0,3107.03,0,0,3107.03
     ,                 , ,219,2016,2016,0,72331,0,767.18,0,0,767.18
     ,                 , ,220,2016,2016,0,57535,0,614.34,0,0,614.34
     ,                 , ,221,2016,2016,0,52818,0,565.61,0,0,565.61
     ,                 , ,222,2016,2016,0,218745,0,2248.57,0,0,2248.57
     ,                 , ,223,2016,2016,0,81198,0,847.24,0,0,847.24
     ,                 , ,224,2016,2016,0,85212,0,888.14,0,0,888.14
     ,                 , ,225,2016,2016,0,1159113,0,0,0,0,0
     ,                 , ,227,2016,2016,0,173056,0,1823.09,0,0,1823.09
     ,                 , ,229,2016,2016,0,1844627,0,19055,0,0,19055
     ,                 , ,230,2016,2016,0,128512,0,895.08,0,0,895.08
     ,                 , ,232,2016,2016,0,4388923,0,43472.28,0,6875,50347.28
     ,                 , ,234,2016,2016,0,931156,0,2009.45,0,0,2009.45
     ,                 , ,236,2016,2016,0,12000,0,123.96,0,0,123.96
     ,                 , ,237,2016,2016,0,104036,0,1094.7,0,0,1094.7
     ,                 , ,238,2016,2016,0,190824,0,1964.12,0,0,1964.12
     ,                 , ,239,2016,2016,0,7964061,0,0,0,0,0
     ,                 , ,241,2016,2016,0,52804,0,557.97,0,0,557.97
     ,                 , ,242,2016,2016,0,316620,0,3245.72,0,0,3245.72
     ,                 , ,244,2016,2016,0,117056,0,835.29,0,0,835.29
     ,                 , ,245,2016,2016,0,105074,0,1105.42,0,0,1105.42
     ,                 , ,246,2016,2016,0,182312,0,1289.8,0,0,1289.8
     ,                 , ,248,2016,2016,0,169672,0,1201.77,0,0,1201.77
     ,                 , ,249,2016,2016,0,1248157,0,1539.44,0,0,1539.44
